1,Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
2,1996,Puerto Rico,0.09,0.05,0.16,0.7,"Puerto Rico
"
3,1997,Puerto Rico,0.09,0.05,0.16,0.7,"Puerto Rico
"
4,1998,Puerto Rico,0.1,0.05,0.17,0.68,"Puerto Rico
"
5,1999,Puerto Rico,0.1,0.04,0.15,0.71,"Puerto Rico
"
6,2000,Puerto Rico,0.09,0.04,0.15,0.72,"Puerto Rico
"
7,2001,Puerto Rico,0.08,0.05,0.17,0.71,"Puerto Rico
"
8,2001,Virgin Islands,0.07,0.03,0.13,0.78,"Virgin Islands
"
9,2002,Puerto Rico,0.09,0.04,0.17,0.7,"Puerto Rico
"
10,2002,Virgin Islands,0.07,0.02,0.12,0.79,"Virgin Islands
"
11,2003,Puerto Rico,0.09,0.05,0.18,0.69,"Puerto Rico
"
12,2003,Virgin Islands,0.08,0.02,0.14,0.76,"Virgin Islands
"
13,2004,Puerto Rico,0.08,0.04,0.15,0.72,"Puerto Rico
"
14,2004,Virgin Islands,0.06,0.04,0.1,0.81,"Virgin Islands
"
15,2005,Puerto Rico,0.08,0.05,0.17,0.7,"Puerto Rico
"
16,2005,Virgin Islands,0.05,0.03,0.13,0.79,"Virgin Islands
"
17,2006,Puerto Rico,0.08,0.05,0.17,0.71,"Puerto Rico
"
18,2006,Virgin Islands,0.06,0.03,0.13,0.78,"Virgin Islands
"
19,2007,Puerto Rico,0.08,0.05,0.19,0.69,"Puerto Rico
"
20,2007,Virgin Islands,0.06,0.03,0.12,0.8,"Virgin Islands
"
21,2008,Puerto Rico,0.08,0.04,0.18,0.7,"Puerto Rico
"
22,2008,Virgin Islands,0.04,0.02,0.12,0.82,"Virgin Islands
"
23,2009,Puerto Rico,0.07,0.04,0.18,0.72,"Puerto Rico
"
24,2010,Puerto Rico,0.08,0.04,0.17,0.71,"Puerto Rico
"
25,1999,Louisiana,0.19,0.05,0.21,0.56,"Louisiana
(31.31265999975932, -92.44567999993188)"
26,2010,Nevada,0.17,0.05,0.26,0.53,"Nevada
(39.49323999972637, -117.07183999971608)"
27,1996,Nebraska,0.2,0.03,0.24,0.54,"Nebraska
(41.6410400000961, -99.36572999973953)"
28,2003,Vermont,0.15,0.04,0.3,0.5,"Vermont
(43.625379999687425, -72.51764000028561)"
29,2001,Tennessee,0.2,0.05,0.19,0.57,"Tennessee
(35.68094000038087, -85.77449000011325)"
30,2008,Guam,0.21,0.06,0.19,0.53,
31,2007,Guam,0.23,0.08,0.14,0.55,
32,2003,Guam,0.26,0.08,0.14,0.52,
33,2002,Guam,0.25,0.07,0.16,0.53,
34,2001,Guam,0.27,0.05,0.12,0.57,
35,2003,Delaware,0.17,0.05,0.28,0.5,"Delaware
(39.00883000020451, -75.57774000040052)"
36,1998,Vermont,0.19,0.04,0.29,0.49,"Vermont
(43.625379999687425, -72.51764000028561)"
37,2006,Oklahoma,0.19,0.06,0.24,0.51,"Oklahoma
(35.4720099999617, -97.52034999975251)"
38,2004,Washington,0.14,0.05,0.25,0.56,"Washington
(47.522280000022135, -120.47001000026114)"
39,1998,New York,0.18,0.06,0.24,0.52,"New York
(42.82699999955048, -75.54396999981549)"
40,2005,South Dakota,0.14,0.06,0.25,0.55,"South Dakota
(44.353130000049646, -100.37353000040906)"
41,1999,Illinois,0.2,0.05,0.24,0.52,"Illinois
(40.485010000411364, -88.99770999971656)"
42,1997,Indiana,0.22,0.05,0.24,0.5,"Indiana
(39.76690999989677, -86.14996000035359)"
43,2000,Illinois,0.16,0.06,0.23,0.55,"Illinois
(40.485010000411364, -88.99770999971656)"
44,2006,Connecticut,0.12,0.05,0.28,0.55,"Connecticut
(41.56265999995918, -72.6498400002157)"
45,2005,Montana,0.15,0.05,0.29,0.52,"Montana
(47.06653000015956, -109.42441999998289)"
46,2002,Missouri,0.22,0.05,0.26,0.48,"Missouri
(38.63578999960896, -92.5663000000448)"
47,2002,Nevada,0.21,0.05,0.25,0.49,"Nevada
(39.49323999972637, -117.07183999971608)"
48,2001,Florida,0.18,0.05,0.28,0.5,"Florida
(28.932039999846268, -81.9289599999039)"
49,2004,Missouri,0.19,0.06,0.24,0.52,"Missouri
(38.63578999960896, -92.5663000000448)"
50,2007,North Carolina,0.18,0.05,0.25,0.52,"North Carolina
(35.46624999963797, -79.1593199999179)"
51,2010,Louisiana,0.16,0.06,0.22,0.56,"Louisiana
(31.31265999975932, -92.44567999993188)"
52,1999,Utah,0.1,0.04,0.17,0.69,"Utah
(39.36070000030492, -111.58712999994941)"
53,2001,Hawaii,0.17,0.04,0.24,0.56,"Hawaii
(21.304850000427336, -157.85774999956269)"
54,2008,Montana,0.14,0.05,0.27,0.55,"Montana
(47.06653000015956, -109.42441999998289)"
55,2001,Vermont,0.17,0.06,0.3,0.48,"Vermont
(43.625379999687425, -72.51764000028561)"
56,2000,Georgia,0.18,0.05,0.23,0.54,"Georgia
(32.83967999993223, -83.62758000031658)"
57,2004,Virginia,0.16,0.05,0.23,0.56,"Virginia
(37.54268000028196, -78.45789000012326)"
58,2004,Nebraska,0.15,0.05,0.21,0.59,"Nebraska
(41.6410400000961, -99.36572999973953)"
59,2009,Massachusetts,0.11,0.04,0.29,0.57,"Massachusetts
(42.27687000005062, -72.08269000004333)"
60,2002,Alabama,0.19,0.05,0.23,0.52,"Alabama
(32.840569999605975, -86.63186000013877)"
61,1995,Mississippi,0.21,0.03,0.21,0.56,"Mississippi
(32.7455100000866, -89.53803000008429)"
62,2010,California,0.08,0.05,0.23,0.65,"California
(37.638300000444815, -120.99958999997835)"
63,1996,Iowa,0.2,0.04,0.24,0.53,"Iowa
(42.469390000048634, -93.81649000001335)"
64,2002,Idaho,0.16,0.04,0.24,0.55,"Idaho
(43.682590000228515, -114.36368000023168)"
65,2007,Nevada,0.16,0.05,0.25,0.53,"Nevada
(39.49323999972637, -117.07183999971608)"
66,2010,Kansas,0.12,0.05,0.24,0.59,"Kansas
(38.34774000000118, -98.20077999969709)"
67,2008,Nebraska,0.13,0.05,0.25,0.57,"Nebraska
(41.6410400000961, -99.36572999973953)"
68,1998,Missouri,0.22,0.04,0.24,0.5,"Missouri
(38.63578999960896, -92.5663000000448)"
69,2001,Rhode Island,0.18,0.06,0.29,0.47,"Rhode Island
(41.70828000002217, -71.5224700001902)"
70,1995,New Hampshire,0.19,0.02,0.33,0.46,"New Hampshire
(43.65595000019255, -71.50036000041354)"
71,2002,New Mexico,0.15,0.06,0.26,0.53,"New Mexico
(34.52088000011207, -106.24057999976702)"
72,2000,North Carolina,0.21,0.05,0.24,0.5,"North Carolina
(35.46624999963797, -79.1593199999179)"
73,2002,Connecticut,0.14,0.05,0.3,0.5,"Connecticut
(41.56265999995918, -72.6498400002157)"
74,1998,New Mexico,0.16,0.06,0.24,0.53,"New Mexico
(34.52088000011207, -106.24057999976702)"
75,2009,Maryland,0.1,0.05,0.23,0.62,"Maryland
(39.29057999976732, -76.6092600004485)"
76,2005,Mississippi,0.19,0.05,0.21,0.56,"Mississippi
(32.7455100000866, -89.53803000008429)"
77,2005,Minnesota,0.15,0.05,0.29,0.51,"Minnesota
(46.3556499998478, -94.79419999982997)"
78,1998,Alabama,0.19,0.05,0.22,0.54,"Alabama
(32.840569999605975, -86.63186000013877)"
79,1996,Virginia,0.2,0.05,0.23,0.52,"Virginia
(37.54268000028196, -78.45789000012326)"
80,2001,Montana,0.17,0.05,0.27,0.51,"Montana
(47.06653000015956, -109.42441999998289)"
81,1996,North Carolina,0.22,0.04,0.23,0.51,"North Carolina
(35.46624999963797, -79.1593199999179)"
82,1995,Iowa,0.2,0.03,0.24,0.53,"Iowa
(42.469390000048634, -93.81649000001335)"
83,2006,Ohio,0.17,0.06,0.24,0.53,"Ohio
(40.06020999969189, -82.40426000019869)"
84,2006,Montana,0.13,0.06,0.27,0.54,"Montana
(47.06653000015956, -109.42441999998289)"
85,1999,Idaho,0.16,0.06,0.24,0.54,"Idaho
(43.682590000228515, -114.36368000023168)"
86,2008,Vermont,0.12,0.05,0.32,0.51,"Vermont
(43.625379999687425, -72.51764000028561)"
87,1996,New Jersey,0.18,0.05,0.25,0.53,"New Jersey
(40.13056999960594, -74.2736899996936)"
88,1997,Texas,0.16,0.06,0.2,0.57,"Texas
(31.82724000022597, -99.42676999973554)"
89,1998,Arkansas,0.22,0.04,0.24,0.5,"Arkansas
(34.748649999697875, -92.27448999971358)"
90,2002,Washington,0.16,0.05,0.29,0.5,"Washington
(47.522280000022135, -120.47001000026114)"
91,2002,Alaska,0.22,0.07,0.26,0.45,"Alaska
(64.84507999974238, -147.72205999986895)"
92,2009,Mississippi,0.17,0.06,0.22,0.55,"Mississippi
(32.7455100000866, -89.53803000008429)"
93,2000,California,0.12,0.05,0.26,0.57,"California
(37.638300000444815, -120.99958999997835)"
94,2004,Michigan,0.17,0.06,0.25,0.52,"Michigan
(44.661320000317914, -84.71438999959867)"
95,2010,Massachusetts,0.1,0.04,0.29,0.57,"Massachusetts
(42.27687000005062, -72.08269000004333)"
96,2001,Colorado,0.15,0.07,0.26,0.52,"Colorado
(38.842890000173554, -106.13314000041055)"
97,2007,North Dakota,0.15,0.06,0.25,0.54,"North Dakota
(47.475320000018144, -100.11841999998285)"
98,2008,Missouri,0.2,0.05,0.25,0.5,"Missouri
(38.63578999960896, -92.5663000000448)"
99,2000,Kansas,0.17,0.04,0.24,0.55,"Kansas
(38.34774000000118, -98.20077999969709)"
100,2000,Tennessee,0.22,0.04,0.22,0.52,"Tennessee
(35.68094000038087, -85.77449000011325)"
101,2001,Arkansas,0.2,0.05,0.24,0.51,"Arkansas
(34.748649999697875, -92.27448999971358)"
102,2005,New Mexico,0.15,0.07,0.24,0.54,"New Mexico
(34.52088000011207, -106.24057999976702)"
103,2009,Georgia,0.13,0.05,0.22,0.6,"Georgia
(32.83967999993223, -83.62758000031658)"
104,2002,Arizona,0.18,0.06,0.24,0.52,"Arizona
(34.86596999961597, -111.76380999973156)"
105,1995,Kansas,0.19,0.03,0.24,0.54,"Kansas
(38.34774000000118, -98.20077999969709)"
106,2001,Washington,0.16,0.06,0.28,0.5,"Washington
(47.522280000022135, -120.47001000026114)"
107,2001,Illinois,0.17,0.06,0.24,0.53,"Illinois
(40.485010000411364, -88.99770999971656)"
108,2001,Missouri,0.2,0.06,0.25,0.5,"Missouri
(38.63578999960896, -92.5663000000448)"
109,2009,Oklahoma,0.19,0.07,0.25,0.5,"Oklahoma
(35.4720099999617, -97.52034999975251)"
110,2010,Arkansas,0.17,0.06,0.24,0.53,"Arkansas
(34.748649999697875, -92.27448999971358)"
111,1997,Pennsylvania,0.2,0.04,0.23,0.53,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
112,2004,Arizona,0.14,0.05,0.25,0.57,"Arizona
(34.86596999961597, -111.76380999973156)"
113,2003,Ohio,0.2,0.06,0.24,0.51,"Ohio
(40.06020999969189, -82.40426000019869)"
114,1999,Massachusetts,0.15,0.04,0.26,0.55,"Massachusetts
(42.27687000005062, -72.08269000004333)"
115,2007,Iowa,0.15,0.05,0.24,0.57,"Iowa
(42.469390000048634, -93.81649000001335)"
116,2001,Wyoming,0.17,0.05,0.26,0.52,"Wyoming
(43.23553999957147, -108.10982999975454)"
117,2004,Alaska,0.16,0.09,0.24,0.51,"Alaska
(64.84507999974238, -147.72205999986895)"
118,2001,New York,0.17,0.07,0.24,0.53,"New York
(42.82699999955048, -75.54396999981549)"
119,2009,New Mexico,0.11,0.07,0.26,0.56,"New Mexico
(34.52088000011207, -106.24057999976702)"
120,1995,Rhode Island,0.21,0.04,0.29,0.46,"Rhode Island
(41.70828000002217, -71.5224700001902)"
121,2007,Georgia,0.15,0.05,0.23,0.58,"Georgia
(32.83967999993223, -83.62758000031658)"
122,2003,Virginia,0.17,0.05,0.24,0.54,"Virginia
(37.54268000028196, -78.45789000012326)"
123,2007,West Virginia,0.22,0.05,0.25,0.49,"West Virginia
(38.66550999958696, -80.71263999973604)"
124,2005,Michigan,0.17,0.05,0.26,0.52,"Michigan
(44.661320000317914, -84.71438999959867)"
125,1999,Texas,0.15,0.08,0.23,0.54,"Texas
(31.82724000022597, -99.42676999973554)"
126,1997,Alaska,0.22,0.04,0.25,0.49,"Alaska
(64.84507999974238, -147.72205999986895)"
127,2009,Louisiana,0.16,0.06,0.23,0.55,"Louisiana
(31.31265999975932, -92.44567999993188)"
128,2007,New York,0.13,0.06,0.26,0.56,"New York
(42.82699999955048, -75.54396999981549)"
129,2005,Indiana,0.21,0.06,0.23,0.5,"Indiana
(39.76690999989677, -86.14996000035359)"
130,2010,New Jersey,0.1,0.04,0.26,0.59,"New Jersey
(40.13056999960594, -74.2736899996936)"
131,1995,Delaware,0.23,0.02,0.26,0.49,"Delaware
(39.00883000020451, -75.57774000040052)"
132,2000,Michigan,0.19,0.05,0.25,0.5,"Michigan
(44.661320000317914, -84.71438999959867)"
133,1996,Minnesota,0.16,0.05,0.23,0.56,"Minnesota
(46.3556499998478, -94.79419999982997)"
134,2004,Iowa,0.16,0.05,0.21,0.58,"Iowa
(42.469390000048634, -93.81649000001335)"
135,2000,Kentucky,0.27,0.04,0.23,0.47,"Kentucky
(37.645969999815804, -84.77496999996538)"
136,1996,Oregon,0.19,0.04,0.28,0.49,"Oregon
(44.567449999917756, -120.15502999983448)"
137,1995,Alaska,0.22,0.03,0.27,0.48,"Alaska
(64.84507999974238, -147.72205999986895)"
138,2007,Pennsylvania,0.15,0.06,0.24,0.55,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
139,2005,South Carolina,0.17,0.06,0.24,0.53,"South Carolina
(33.99855000018255, -81.0452500001872)"
140,1999,Vermont,0.17,0.05,0.27,0.52,"Vermont
(43.625379999687425, -72.51764000028561)"
141,1999,New Mexico,0.16,0.06,0.25,0.53,"New Mexico
(34.52088000011207, -106.24057999976702)"
142,2004,Indiana,0.2,0.05,0.23,0.53,"Indiana
(39.76690999989677, -86.14996000035359)"
143,2009,Nebraska,0.13,0.04,0.25,0.59,"Nebraska
(41.6410400000961, -99.36572999973953)"
144,2005,Georgia,0.16,0.06,0.22,0.56,"Georgia
(32.83967999993223, -83.62758000031658)"
145,2000,Louisiana,0.19,0.06,0.2,0.57,"Louisiana
(31.31265999975932, -92.44567999993188)"
146,1995,Wisconsin,0.18,0.04,0.28,0.51,"Wisconsin
(44.39319000021851, -89.81636999977553)"
147,2007,Hawaii,0.13,0.04,0.26,0.57,"Hawaii
(21.304850000427336, -157.85774999956269)"
148,2010,New York,0.11,0.05,0.27,0.58,"New York
(42.82699999955048, -75.54396999981549)"
149,1997,New Mexico,0.16,0.07,0.25,0.53,"New Mexico
(34.52088000011207, -106.24057999976702)"
150,2004,Florida,0.15,0.06,0.26,0.54,"Florida
(28.932039999846268, -81.9289599999039)"
151,1996,Maryland,0.18,0.03,0.23,0.56,"Maryland
(39.29057999976732, -76.6092600004485)"
152,2007,Missouri,0.2,0.05,0.23,0.52,"Missouri
(38.63578999960896, -92.5663000000448)"
153,2010,Arizona,0.11,0.04,0.28,0.57,"Arizona
(34.86596999961597, -111.76380999973156)"
154,1998,Pennsylvania,0.19,0.04,0.23,0.53,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
155,1998,Texas,0.16,0.06,0.23,0.56,"Texas
(31.82724000022597, -99.42676999973554)"
156,1999,Wisconsin,0.18,0.06,0.29,0.48,"Wisconsin
(44.39319000021851, -89.81636999977553)"
157,1999,Montana,0.16,0.04,0.28,0.52,"Montana
(47.06653000015956, -109.42441999998289)"
158,2006,Minnesota,0.14,0.05,0.28,0.54,"Minnesota
(46.3556499998478, -94.79419999982997)"
159,1995,Missouri,0.22,0.02,0.27,0.49,"Missouri
(38.63578999960896, -92.5663000000448)"
160,2009,Tennessee,0.18,0.04,0.25,0.53,"Tennessee
(35.68094000038087, -85.77449000011325)"
161,1998,Maryland,0.17,0.06,0.24,0.53,"Maryland
(39.29057999976732, -76.6092600004485)"
162,2001,Utah,0.09,0.04,0.17,0.7,"Utah
(39.36070000030492, -111.58712999994941)"
163,2002,South Carolina,0.21,0.06,0.23,0.51,"South Carolina
(33.99855000018255, -81.0452500001872)"
164,2005,Maine,0.16,0.05,0.3,0.49,"Maine
(45.25423000041434, -68.9850299999344)"
165,1997,Georgia,0.18,0.05,0.15,0.62,"Georgia
(32.83967999993223, -83.62758000031658)"
166,2005,New York,0.15,0.06,0.26,0.54,"New York
(42.82699999955048, -75.54396999981549)"
167,2004,Massachusetts,0.14,0.05,0.27,0.55,"Massachusetts
(42.27687000005062, -72.08269000004333)"
168,2010,Vermont,0.11,0.04,0.31,0.54,"Vermont
(43.625379999687425, -72.51764000028561)"
169,2008,North Carolina,0.16,0.05,0.25,0.54,"North Carolina
(35.46624999963797, -79.1593199999179)"
170,2008,Alabama,0.17,0.05,0.22,0.56,"Alabama
(32.840569999605975, -86.63186000013877)"
171,2006,North Dakota,0.16,0.04,0.24,0.56,"North Dakota
(47.475320000018144, -100.11841999998285)"
172,2008,Mississippi,0.17,0.06,0.22,0.55,"Mississippi
(32.7455100000866, -89.53803000008429)"
173,2008,Utah,0.07,0.03,0.16,0.75,"Utah
(39.36070000030492, -111.58712999994941)"
174,2009,New Jersey,0.1,0.06,0.25,0.59,"New Jersey
(40.13056999960594, -74.2736899996936)"
175,2006,Hawaii,0.13,0.05,0.25,0.57,"Hawaii
(21.304850000427336, -157.85774999956269)"
176,2009,Kansas,0.13,0.05,0.23,0.59,"Kansas
(38.34774000000118, -98.20077999969709)"
177,2007,Colorado,0.13,0.05,0.25,0.57,"Colorado
(38.842890000173554, -106.13314000041055)"
178,1998,Georgia,0.2,0.04,0.22,0.55,"Georgia
(32.83967999993223, -83.62758000031658)"
179,2009,Michigan,0.14,0.06,0.26,0.55,"Michigan
(44.661320000317914, -84.71438999959867)"
180,2004,Delaware,0.19,0.06,0.25,0.51,"Delaware
(39.00883000020451, -75.57774000040052)"
181,1999,Nebraska,0.18,0.05,0.22,0.55,"Nebraska
(41.6410400000961, -99.36572999973953)"
182,2008,Oklahoma,0.19,0.06,0.25,0.51,"Oklahoma
(35.4720099999617, -97.52034999975251)"
183,2005,Delaware,0.16,0.05,0.27,0.52,"Delaware
(39.00883000020451, -75.57774000040052)"
184,2008,South Dakota,0.12,0.06,0.26,0.56,"South Dakota
(44.353130000049646, -100.37353000040906)"
185,1995,South Carolina,0.21,0.03,0.2,0.56,"South Carolina
(33.99855000018255, -81.0452500001872)"
186,1998,Massachusetts,0.17,0.04,0.28,0.51,"Massachusetts
(42.27687000005062, -72.08269000004333)"
187,1998,Michigan,0.23,0.05,0.25,0.47,"Michigan
(44.661320000317914, -84.71438999959867)"
188,2010,Alabama,0.16,0.06,0.24,0.54,"Alabama
(32.840569999605975, -86.63186000013877)"
189,2003,Missouri,0.23,0.04,0.24,0.49,"Missouri
(38.63578999960896, -92.5663000000448)"
190,2002,Tennessee,0.23,0.05,0.19,0.54,"Tennessee
(35.68094000038087, -85.77449000011325)"
191,2007,Indiana,0.18,0.06,0.23,0.53,"Indiana
(39.76690999989677, -86.14996000035359)"
192,2007,Tennessee,0.2,0.04,0.24,0.52,"Tennessee
(35.68094000038087, -85.77449000011325)"
193,2007,Louisiana,0.17,0.06,0.2,0.57,"Louisiana
(31.31265999975932, -92.44567999993188)"
194,2007,New Jersey,0.12,0.05,0.25,0.58,"New Jersey
(40.13056999960594, -74.2736899996936)"
195,1997,New Hampshire,0.2,0.05,0.31,0.44,"New Hampshire
(43.65595000019255, -71.50036000041354)"
196,2002,Vermont,0.17,0.04,0.32,0.47,"Vermont
(43.625379999687425, -72.51764000028561)"
197,2009,Rhode Island,0.1,0.05,0.3,0.55,"Rhode Island
(41.70828000002217, -71.5224700001902)"
198,1996,Florida,0.18,0.04,0.31,0.48,"Florida
(28.932039999846268, -81.9289599999039)"
199,1997,Louisiana,0.19,0.05,0.22,0.54,"Louisiana
(31.31265999975932, -92.44567999993188)"
200,2009,Iowa,0.13,0.04,0.24,0.59,"Iowa
(42.469390000048634, -93.81649000001335)"
201,2004,Montana,0.16,0.05,0.25,0.55,"Montana
(47.06653000015956, -109.42441999998289)"
202,1995,Connecticut,0.19,0.02,0.29,0.51,"Connecticut
(41.56265999995918, -72.6498400002157)"
203,2001,New Mexico,0.16,0.08,0.25,0.51,"New Mexico
(34.52088000011207, -106.24057999976702)"
204,2003,West Virginia,0.23,0.05,0.26,0.47,"West Virginia
(38.66550999958696, -80.71263999973604)"
205,2010,Idaho,0.11,0.04,0.23,0.62,"Idaho
(43.682590000228515, -114.36368000023168)"
206,2009,Texas,0.12,0.06,0.22,0.61,"Texas
(31.82724000022597, -99.42676999973554)"
207,2008,Arizona,0.11,0.05,0.27,0.57,"Arizona
(34.86596999961597, -111.76380999973156)"
208,2000,Delaware,0.19,0.04,0.24,0.53,"Delaware
(39.00883000020451, -75.57774000040052)"
209,2009,Washington,0.11,0.04,0.27,0.58,"Washington
(47.522280000022135, -120.47001000026114)"
210,2007,Maine,0.16,0.04,0.31,0.49,"Maine
(45.25423000041434, -68.9850299999344)"
211,2008,Connecticut,0.12,0.04,0.3,0.54,"Connecticut
(41.56265999995918, -72.6498400002157)"
212,2005,Vermont,0.14,0.05,0.31,0.5,"Vermont
(43.625379999687425, -72.51764000028561)"
213,2006,New Hampshire,0.14,0.04,0.3,0.52,"New Hampshire
(43.65595000019255, -71.50036000041354)"
214,2002,Arkansas,0.22,0.05,0.25,0.49,"Arkansas
(34.748649999697875, -92.27448999971358)"
215,2005,Tennessee,0.2,0.06,0.22,0.51,"Tennessee
(35.68094000038087, -85.77449000011325)"
216,2005,West Virginia,0.21,0.05,0.24,0.49,"West Virginia
(38.66550999958696, -80.71263999973604)"
217,2004,Tennessee,0.22,0.05,0.22,0.52,"Tennessee
(35.68094000038087, -85.77449000011325)"
218,2000,Texas,0.15,0.07,0.22,0.56,"Texas
(31.82724000022597, -99.42676999973554)"
219,2008,Tennessee,0.18,0.05,0.22,0.55,"Tennessee
(35.68094000038087, -85.77449000011325)"
220,2006,South Carolina,0.17,0.06,0.25,0.53,"South Carolina
(33.99855000018255, -81.0452500001872)"
221,2000,Iowa,0.18,0.05,0.23,0.54,"Iowa
(42.469390000048634, -93.81649000001335)"
